Item.Filename,target_word,image_selection,feedback,reps,Item.Height,Item.Backness,F3,F0,Talker,Duration,Experiment,SR,F1,F2
E2_1.275_0.647.wav,TEST,forward,FALSE,2,1.275,0.647,2752.1542480144417,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,671.062107472091,1281.5963038006212
E2_1.275_0.746.wav,TEST,forward,FALSE,2,1.275,0.746,2790.663572865676,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,671.062107472091,1414.9672886654926
E2_1.275_0.848.wav,TEST,forward,FALSE,2,1.275,0.848,2834.535669227807,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,671.062107472091,1566.911388503854
E2_1.275_1.001.wav,TEST,forward,FALSE,2,1.275,1.001,2900.720043811137,213.09589276483555,E2_synth,0.2492,1b (synthesized),181.8574990231041,650.8136881915292,1770.8650021882022
E2_1.275_1.053.wav,TEST,forward,FALSE,2,1.275,1.053,2927.9265025411614,213.09589276483555,E2_synth,0.2492,1b (synthesized),181.8574990231041,650.8136881915292,1865.386236570929
E2_1.275_1.102.wav,TEST,forward,FALSE,2,1.275,1.102,2954.890926162388,213.09589276483555,E2_synth,0.2492,1b (synthesized),181.8574990231041,650.8136881915292,1959.0665876371422
E2_1.275_1.325.wav,TEST,forward,FALSE,2,1.275,1.325,3110.164825607831,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,669.8643409202041,2520.153813246659
E2_1.275_1.398.wav,TEST,forward,FALSE,2,1.275,1.398,3165.2610941718235,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,669.8643409202041,2711.0064146314658
E2_1.281_1.455.wav,TEST,forward,FALSE,2,1.281,1.455,3234.487528752931,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,694.9282856239926,2977.4087495352214
E2_1.315_0.475.wav,TEST,forward,FALSE,2,1.315,0.475,2694.397195628504,216.33321750851843,E2_synth,0.2492,1b (synthesized),182.77379289114003,680.7868651493756,1094.714944622035
E2_1.315_0.575.wav,TEST,forward,FALSE,2,1.315,0.575,2727.690264822313,216.33321750851843,E2_synth,0.2492,1b (synthesized),182.77379289114003,680.7868651493756,1209.8471203790662
E2_1.315_0.647.wav,TEST,forward,FALSE,2,1.315,0.647,2753.808782041017,216.33321750851843,E2_synth,0.2492,1b (synthesized),182.77379289114003,680.7868651493756,1300.1686734155794
E2_1.315_0.881.wav,TEST,forward,FALSE,2,1.315,0.881,2866.634043878385,257.55017354103643,E2_synth,0.2492,1b (synthesized),193.71361096325762,721.5349632919646,1741.2888496657329
E2_1.315_0.925.wav,TEST,forward,FALSE,2,1.315,0.925,2889.426645306441,257.55017354103643,E2_synth,0.2492,1b (synthesized),193.71361096325762,721.5349632919646,1819.6161226646868
E2_1.315_0.965.wav,TEST,forward,FALSE,2,1.315,0.965,2893.202249809314,213.09589276483555,E2_synth,0.2492,1b (synthesized),181.8574990231041,677.373898661629,1777.9626480251036
E2_1.315_1.175.wav,TEST,forward,FALSE,2,1.315,1.175,3025.125864305263,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,697.2020232770315,2257.6398121040693
E2_1.342_1.149.wav,TEST,forward,FALSE,2,1.342,1.149,3007.5885728704743,213.09589276483555,E2_synth,0.2492,1b (synthesized),181.8574990231041,695.9121339173365,2195.6280408838743
E2_1.352_0.525.wav,TEST,forward,FALSE,2,1.352,0.525,2713.265772684537,216.33321750851843,E2_synth,0.2492,1b (synthesized),182.77379289114003,706.4477786437947,1194.2208983261564
E2_1.352_0.625.wav,TEST,forward,FALSE,2,1.352,0.625,2749.72896795908,216.33321750851843,E2_synth,0.2492,1b (synthesized),182.77379289114003,706.4477786437947,1319.818206588243
E2_1.352_0.702.wav,TEST,forward,FALSE,2,1.352,0.702,2789.4432747734136,257.55017354103643,E2_synth,0.2492,1b (synthesized),193.71361096325762,748.7317956987877,1510.7792196518953
E2_1.352_0.751.wav,TEST,forward,FALSE,2,1.352,0.751,2811.613500786124,257.55017354103643,E2_synth,0.2492,1b (synthesized),193.71361096325762,748.7317956987877,1586.6510819535595
E2_1.352_0.802.wav,TEST,forward,FALSE,2,1.352,0.802,2835.871923505309,257.55017354103643,E2_synth,0.2492,1b (synthesized),193.71361096325762,748.7317956987877,1669.6692571922956
E2_1.352_0.848.wav,TEST,forward,FALSE,2,1.352,0.848,2858.8389473656584,257.55017354103643,E2_synth,0.2492,1b (synthesized),193.71361096325762,748.7317956987877,1748.2679539675298
E2_1.352_0.925.wav,TEST,forward,FALSE,2,1.352,0.925,2882.466169809693,213.09589276483555,E2_synth,0.2492,1b (synthesized),181.8574990231041,702.9061671391057,1772.63675291811
E2_1.352_1.246.wav,TEST,forward,FALSE,2,1.352,1.246,3091.1755343626783,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,723.481673668818,2515.1185425692665
E2_1.352_1.325.wav,TEST,forward,FALSE,2,1.352,1.325,3151.3571302423825,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,723.481673668818,2721.872157287651
E2_1.352_1.502.wav,TEST,forward,FALSE,2,1.352,1.502,3327.7396174876544,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,746.0619607708021,3350.3116625481107
E2_1.364_1.019.wav,TEST,forward,FALSE,2,1.364,1.019,2937.0001242921076,213.09589276483555,E2_synth,0.2492,1b (synthesized),181.8574990231041,711.3918534345564,1970.8563209938566
E2_1.365_1.081.wav,TEST,forward,FALSE,2,1.365,1.081,2973.9891850616127,213.09589276483555,E2_synth,0.2492,1b (synthesized),181.8574990231041,712.1036011025127,2099.0148781271264
E2_1.401_0.475.wav,TEST,forward,FALSE,2,1.401,0.475,2699.22184781699,216.33321750851843,E2_synth,0.2492,1b (synthesized),182.77379289114003,741.9258338667998,1193.0272743392925
E2_1.401_0.575.wav,TEST,forward,FALSE,2,1.401,0.575,2735.8473467004633,216.33321750851843,E2_synth,0.2492,1b (synthesized),182.77379289114003,741.9258338667998,1318.4990480708432
E2_1.401_0.647.wav,TEST,forward,FALSE,2,1.401,0.647,2764.5801654641214,216.33321750851843,E2_synth,0.2492,1b (synthesized),182.77379289114003,741.9258338667998,1416.9320481523828
E2_1.401_0.881.wav,TEST,forward,FALSE,2,1.401,0.881,2871.5638791996194,211.14017279241955,E2_synth,0.2492,1b (synthesized),181.29944670126937,735.9410834875174,1776.0553096983979
E2_1.401_0.948.wav,TEST,forward,FALSE,2,1.401,0.948,2908.3583903447116,213.09589276483555,E2_synth,0.2492,1b (synthesized),181.8574990231041,738.2063613901604,1904.9735596073726
E2_1.401_1.151.wav,TEST,forward,FALSE,2,1.401,1.151,3033.442370936998,213.09589276483555,E2_synth,0.2492,1b (synthesized),181.8574990231041,738.2063613901604,2333.730660614429
E2_1.425_0.791.wav,TEST,forward,FALSE,2,1.425,0.791,2846.6638979304994,257.55017354103643,E2_synth,0.2492,1b (synthesized),193.71361096325762,805.4336565921667,1776.4652178026288
E2_1.448_0.475.wav,TEST,forward,FALSE,2,1.448,0.475,2702.2875022484127,216.33321750851843,E2_synth,0.2492,1b (synthesized),182.77379289114003,777.628795580569,1250.4381436673245
E2_1.448_0.525.wav,TEST,forward,FALSE,2,1.448,0.525,2721.103944824346,216.33321750851843,E2_synth,0.2492,1b (synthesized),182.77379289114003,777.628795580569,1314.5494782435485
E2_1.448_0.575.wav,TEST,forward,FALSE,2,1.448,0.575,2740.8851270410446,216.33321750851843,E2_synth,0.2492,1b (synthesized),182.77379289114003,777.628795580569,1381.9478712336254
E2_1.448_0.848.wav,TEST,forward,FALSE,2,1.448,0.848,2866.1547548260933,211.14017279241955,E2_synth,0.2492,1b (synthesized),181.29944670126937,771.3560469891953,1801.0949525546719
E2_1.448_0.881.wav,TEST,forward,FALSE,2,1.448,0.881,2883.873142548085,211.14017279241955,E2_synth,0.2492,1b (synthesized),181.29944670126937,771.3560469891953,1861.5226594376747
E2_1.448_0.925.wav,TEST,forward,FALSE,2,1.448,0.925,2908.4258054758952,211.14017279241955,E2_synth,0.2492,1b (synthesized),181.29944670126937,771.3560469891953,1945.2583323373797
E2_1.448_0.965.wav,TEST,forward,FALSE,2,1.448,0.965,2931.7035128735324,211.14017279241955,E2_synth,0.2492,1b (synthesized),181.29944670126937,771.3560469891953,2024.6458308842623
E2_1.448_1.001.wav,TEST,forward,FALSE,2,1.448,1.001,2953.464590771478,211.14017279241955,E2_synth,0.2492,1b (synthesized),181.29944670126937,771.3560469891953,2098.860937659644
E2_1.448_1.053.wav,TEST,forward,FALSE,2,1.448,1.053,2986.313101268579,211.14017279241955,E2_synth,0.2492,1b (synthesized),181.29944670126937,771.3560469891953,2210.889198639525
E2_1.448_1.102.wav,TEST,forward,FALSE,2,1.448,1.102,3018.869383626365,211.14017279241955,E2_synth,0.2492,1b (synthesized),181.29944670126937,771.3560469891953,2321.920829642542
E2_1.448_1.175.wav,TEST,forward,FALSE,2,1.448,1.175,3086.074645536696,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,796.3790099244853,2578.7890716076336
E2_1.448_1.246.wav,TEST,forward,FALSE,2,1.448,1.246,3141.9245629676825,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,796.3790099244853,2768.539532752446
E2_1.448_1.325.wav,TEST,forward,FALSE,2,1.448,1.325,3228.94261604262,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,821.2344656195806,3089.636279575164
